Book_Name,Author,Release_Date,Narrator,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length
The Immortals of Meluha,Amish Tripathi,"Release Date:
                                    14-11-22",Manish Dongardive,5 out of 5 stars,13 ratings,₹836.00,"['Language:', 'English']",Length: 11 hrs and 39 mins
The Seven Moons of Maali Almeida,Shehan Karunatilaka,"Release Date:
                                    11-11-22",Shivantha Wijesinha,4.5 out of 5 stars,2 ratings,₹664.00,"['Language:', 'English']",Length: 15 hrs and 8 mins
Scion of Ikshvaku,Amish,"Release Date:
                                    21-06-17",Sagar Arya,4.5 out of 5 stars,"1,423 ratings",₹234.00,"['Language:', 'English']",Length: 11 hrs and 35 mins
Novelist as a Vocation,Haruki Murakami,"Release Date:
                                    08-11-22",Kotaro Watanabe,,Not rated yet,₹519.00,"['Language:', 'English']",Length: 7 hrs and 35 mins
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,"Release Date:
                                    14-11-22",Swetanshu Bora,5 out of 5 stars,1 rating,₹836.00,"['Language:', 'Hindi']",Length: 14 hrs and 45 mins
No Plan B,Lee Child,"Release Date:
                                    25-10-22",Jeff Harding,3.5 out of 5 stars,9 ratings,₹888.00,"['Language:', 'English']",Length: 10 hrs and 22 mins
War of Lanka,Amish Tripathi,"Release Date:
                                    03-10-22",Darrpan Mehta,4.5 out of 5 stars,394 ratings,"₹1,003.00","['Language:', 'English']",Length: 16 hrs and 20 mins
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]",Kalki,"Release Date:
                                    03-09-20",Bombay Kannan,5 out of 5 stars,729 ratings,₹118.00,"['Language:', 'tamil']",Length: 14 hrs
Sita: Warrior of Mithila,Amish,"Release Date:
                                    29-08-17",Sagar Arya,4.5 out of 5 stars,"1,067 ratings",₹328.00,"['Language:', 'English']",Length: 11 hrs and 10 mins
The Alchemist (Tamil Edition),Paulo Coelho,"Release Date:
                                    04-11-22",Ganesh Ram PS,5 out of 5 stars,2 ratings,₹668.00,"['Language:', 'tamil']",Length: 5 hrs and 22 mins
Legend of Suheldev,Amish Tripathi,"Release Date:
                                    29-09-22",Shernaz Patel,4.5 out of 5 stars,20 ratings,₹836.00,"['Language:', 'English']",Length: 11 hrs and 6 mins
The Sandman,Neil Gaiman,"Release Date:
                                    15-07-20",Riz Ahmed,4.5 out of 5 stars,"1,335 ratings","₹1,171.00","['Language:', 'English']",Length: 11 hrs and 2 mins
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila],Amish Tripathi,"Release Date:
                                    26-09-22",Surjan Singh,5 out of 5 stars,12 ratings,₹836.00,"['Language:', 'Hindi']",Length: 11 hrs and 11 mins
Ghosts of the Silent Hills,Anita Krishan,"Release Date:
                                    25-10-22",Riya Mukherjee,4 out of 5 stars,30 ratings,₹668.00,"['Language:', 'English']",Length: 9 hrs and 54 mins
Life's Amazing Secrets,Gaur Gopal Das,"Release Date:
                                    10-12-19",Gaur Gopal Das,4.5 out of 5 stars,"4,981 ratings","₹1,005.00","['Language:', 'English']",Length: 6 hrs and 25 mins
Amar Bharat (Hindi),Amish Tripathi,"Release Date:
                                    29-09-22",Surjan Singh,4.5 out of 5 stars,3 ratings,₹668.00,"['Language:', 'Hindi']",Length: 5 hrs and 39 mins
The Sandman: Act III,Neil Gaiman,"Release Date:
                                    28-09-22",Neil Gaiman,4.5 out of 5 stars,64 ratings,"₹1,171.00","['Language:', 'English']",Length: 11 hrs and 32 mins
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Amish Tripathi,"Release Date:
                                    29-09-22",Neha Gargava,4.5 out of 5 stars,32 ratings,₹836.00,"['Language:', 'Hindi']",Length: 12 hrs and 13 mins
