Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
The Immortals of Meluha,Amish Tripathi,14-11-22,Manish Dongardive,13,English,5.0,836.0,11:39:00
The Seven Moons of Maali Almeida,Shehan Karunatilaka,11-11-22,Shivantha Wijesinha,2,English,4.5,664.0,15:08:00
Scion of Ikshvaku,Amish,21-06-17,Sagar Arya,1423,English,4.5,234.0,11:35:00
Novelist as a Vocation,Haruki Murakami,08-11-22,Kotaro Watanabe,0,English,0.0,519.0,07:35:00
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,14-11-22,Swetanshu Bora,1,Hindi,5.0,836.0,14:45:00
No Plan B,Lee Child,25-10-22,Jeff Harding,9,English,3.5,888.0,10:22:00
War of Lanka,Amish Tripathi,03-10-22,Darrpan Mehta,394,English,4.5,1003.0,16:20:00
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]",Kalki,03-09-20,Bombay Kannan,729,tamil,5.0,118.0,00:00:00
Sita: Warrior of Mithila,Amish,29-08-17,Sagar Arya,1067,English,4.5,328.0,11:10:00
The Alchemist (Tamil Edition),Paulo Coelho,04-11-22,Ganesh Ram PS,2,tamil,5.0,668.0,05:22:00
Legend of Suheldev,Amish Tripathi,29-09-22,Shernaz Patel,20,English,4.5,836.0,11:06:00
The Sandman,Neil Gaiman,15-07-20,Riz Ahmed,1335,English,4.5,1171.0,11:02:00
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila],Amish Tripathi,26-09-22,Surjan Singh,12,Hindi,5.0,836.0,11:11:00
Ghosts of the Silent Hills,Anita Krishan,25-10-22,Riya Mukherjee,30,English,4.0,668.0,09:54:00
Life's Amazing Secrets,Gaur Gopal Das,10-12-19,Gaur Gopal Das,4981,English,4.5,1005.0,06:25:00
Amar Bharat (Hindi),Amish Tripathi,29-09-22,Surjan Singh,3,Hindi,4.5,668.0,05:39:00
The Sandman: Act III,Neil Gaiman,28-09-22,Neil Gaiman,64,English,4.5,1171.0,11:32:00
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Amish Tripathi,29-09-22,Neha Gargava,32,Hindi,4.5,836.0,12:13:00
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta],Amish Tripathi,12-10-22,Surjan Singh,10,Hindi,4.5,836.0,12:33:00
Beartown,Fredrik Backman,10-08-17,John Sackville,213,English,4.5,820.0,13:43:00
A House for Mr. Biswas,V. S. Naipaul,10-07-17,Sam Dastor,34,English,4.0,1289.0,21:29:00
Lessons in Chemistry,Bonnie Garmus,05-04-22,Miranda Raison,32,English,4.5,888.0,11:56:00
Yes Minister & Yes Prime Minister - The Complete Audio Collection,Antony Jay,28-07-14,Paul Eddington,104,English,5.0,1093.0,18:28:00
Sherlock Holmes: The Definitive Collection,Stephen Fry - introductions,27-02-17,Stephen Fry,955,English,5.0,3037.0,23:57:00
Homegoing,Yaa Gyasi,05-01-17,Dominic Hoffman,31,English,4.5,820.0,13:11:00
1984,George Orwell,05-11-15,Andrew Wincott,286,English,4.5,797.0,12:19:00
Haunting Adeline,H. D. Carlton,29-08-22,Teddy Hamilton,1,English,4.0,836.0,15:44:00
Norse Mythology,Neil Gaiman,24-02-17,Neil Gaiman,427,English,4.5,569.0,06:29:00
A Suitable Boy (Dramatised),Vikram Seth,15-05-07,Ayesha Dharker,828,English,4.5,820.0,05:44:00
P.G. Wodehouse Volume 1,P.G. Wodehouse,17-12-20,Stephen Fry,225,English,5.0,1138.0,16:37:00
The Fountainhead,Ayn Rand,02-11-07,Christopher Hurt,417,English,4.5,1054.0,08:05:00
One Hundred Years of Solitude,Gabriel García Márquez,28-01-14,John Lee,135,English,4.5,1069.0,14:04:00
The Midnight Library,Matt Haig,13-08-20,Carey Mulligan,1493,English,4.5,797.0,09:09:00
Things We Do in the Dark,Jennifer Hillier,19-07-22,Carla Vega,3,English,4.0,181.0,12:22:00
Project Hail Mary,Andy Weir,04-05-21,Ray Porter,1504,English,5.0,1003.0,16:10:00
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku],Amish Tripathi,20-09-22,Surjan Singh,36,Hindi,4.5,836.0,11:21:00
If Tomorrow Comes,Sidney Sheldon,31-07-17,Nancy La Scala,94,English,4.5,702.0,12:36:00
"The Ultimate Horror Collection: 60+ Novels and Stories from H.P. Lovecraft, Edgar Allan Poe, M.R. James, Bram Stoker, Henry James, Mary Shelley, and More",H. P. Lovecraft,26-08-22,Jonathan Keeble,0,English,0.0,3037.0,21:12:00
A Game of Thrones,George R.R. Martin,03-11-15,Roy Dotrice,171,English,5.0,1025.0,09:45:00
